"","V1","V2","V3","V4","V5"
"1",1,0,-0.00116667066079875,-0.0128333332637946,0.00233333561724673
"2",2,0,0.00350000247514496,-0.0023333335799786,0
"3",3,0.00233333480233947,-0.00116666699371611,-0.00116666712953399,-0.00116666903098424
"4",4,0,-2.58053963382911e-09,-0.00700000006084641,-0.00116666631462673
"5",5,1.08654300371787e-09,0.00116666875934849,0,0
"6",6,0,5.43271501857975e-10,-0.00116666685789824,2.17308600743649e-09
"7",7,-0.00116666631462673,-0.00116666794444124,-0.00349999935133383,-0.00233333371579647
"8",8,0,-0.00233333317252497,0.00116666685789824,-0.00233333371579647
"9",9,-0.00233333371579647,1.08654300371847e-09,0.00350000057369471,-0.00116666685789824
"10",10,-2.71635750929326e-10,-0.00116666631462673,0.00233333181434621,-0.00116666685789824
"11",11,-0.00233333371579647,-0.00233333330834284,0.00233333371579647,-0.0034999984006087
"12",12,-0.00116666590717311,-0.00116666645044461,0.00466666743159294,-0.00233333453070372
"13",13,0,2.71635750929138e-10,0.00350000166023771,-0.00233333262925347
"14",14,0.00116666658626248,0.00349999731406569,0.00466666525850693,-0.00233333371579647
"15",15,-0.00233333371579647,0,0.00233333154271046,0
"16",16,-1.35817875465585e-10,-2.1730860074357e-09,0.00466666743159294,-0.00116666577135523
"17",17,-0.00116666685789824,0.00233333588888248,0.00116666468481223,0
"18",18,-0.00466666607341419,0.00466666715995719,0.00233333371579647,-0.00116666685789824
"19",19,-0.00116666685789824,-0.00116666699371611,0.00233333371579647,0.00116666359826922
"20",20,-0.00233333317252497,0.00349999907969808,0.0046666693330432,0.00116666740116974
"21",21,-0.00350000247514496,0.00350000030205896,0.00466666308542093,-0.00116666699371611
"22",22,-0.00466666688832144,-1.62981450557709e-09,0.00350000478404885,0
"23",23,-0.0081666627083905,1.35817875464795e-09,0.00816666325166201,0.00583333483276268
"24",24,-0.0151666696959486,-0.00349999853642657,0.00933333567809314,0.012833335029427
"25",25,-0.0233333319968854,-0.00699999870266765,0.017499999065573,0.0186666659234713
"26",26,-0.026833333792941,-0.0245000022502306,0.0303333306995531,0.0279999968479387
"27",27,-0.0443333346241464,-0.0291666681878269,0.0385000042733736,0.040833333778816
"28",28,-0.0606666666960033,-0.0384999954452117,0.0536666633755279,0.051333337808804
"29",29,-0.0781666687495696,-0.0571666704684806,0.066500003701852,0.0676666641763101
"30",30,-0.0956666653704209,-0.0711666662440014,0.0875000057858415,0.0875000061932951
"31",31,-0.113166661719636,-0.0933333292099026,0.100333329814021,0.115500003177052
"32",32,-0.130666676675901,-0.103833335956248,0.123666666971985,0.115499993262347
"33",33,-0.168000001188678,-0.124833335459698,0.128333337799025,0.132999995723367
"34",34,-0.169166665330219,-0.144666662265081,0.142333337649082,0.14583334311222
"35",35,-0.193666656715019,-0.155166673221781,0.151666660017023,0.155166659232539
"36",36,-0.197166681871749,-0.175000006953875,0.154000003240071,0.169166664515312
"37",37,-0.202999999319824,-0.180833318969235,0.156333347278026,0.164500001158255
"38",38,-0.212333327663752,-0.183166665316094,0.149333305249456,0.170333332459753
"39",39,-0.191333339840639,-0.179666665285671,0.140000021182156,0.16100001144999
"40",40,-0.184333307590956,-0.16916667931946,0.124833299467961,0.160999987274408
"41",41,-0.169166670219662,-0.158666678413283,0.113166676252149,0.148166676828017
"42",42,-0.149333344229187,-0.139999989944045,0.0875000004889444,0.135333333785335
"43",43,-0.131833323161118,-0.121333320081855,0.07933334633708,0.116666648847361
"44",44,-0.109666689667696,-0.094500001364698,0.0618333456416925,0.106166686241825
"45",45,-0.0898333147827846,-0.0851666871458292,0.0478333552988867,0.0933333421126008
"46",46,-0.0735000028119733,-0.065333307099839,0.0338333149751027,0.0758333262056112
"47",47,-0.069999986483405,-0.044333342773219,0.019833323545754,0.0664999891693393
"48",48,-0.0571666825562716,-0.0256666773930192,0.0151666691526771,0.0501666814088821
"49",49,-0.0396666536107659,-0.0210000077883403,0.0058333408087492,0.0466666569312414
"50",50,-0.0350000057369471,-0.00699999245504538,0.0046666543930769,0.0373333090295394
"51",51,-0.0361666791141033,-0.00699998484924436,0.00349998970826467,0.0280000045895576
"52",52,-0.0175000050415595,0.00466665982579191,-0.00933333051701387,0.0210000208268563
"53",53,-0.019833343103528,0.00466666308542093,-0.00583331608989586,0.019833334411184
"54",54,-0.00933331313232581,0.0128333267445366,-0.0081666821303467,0.0128333376099666
"55",55,-0.0104999908556541,0.00933333486318588,-0.00466665452889477,0.0174999833106995
"56",56,-3.04232041041042e-08,0.0221666637808084,-0.00933334165407966,0.00700001418590546
"57",57,0.00583334515492121,0.0186666697263718,-0.010500004029988,0.00466665873924891
"58",58,0.00116667337715626,0.024500014881293,-0.0140000069125866,0.00583333211640517
"59",59,0.015166645248731,0.0303333383053541,-0.015166662633419,0.00349999405443668
"60",60,0.0116666859636704,0.0338333323597908,-0.0116666626029958,0.00233334675431252
"61",61,0.0139999892562628,0.0279999915510416,-0.015166660460333,0.0023333119849364
"62",62,0.0186666740725438,0.0420000025381645,-0.019833337670813,-0.00233333806196849
"63",63,0.0186666610340277,0.034999984006087,-0.019833331151555,1.30385160446167e-08
"64",64,0.0186666610340277,0.0419999938458204,-0.0221666681269805,-0.00816665279368559
"65",65,0.0209999990959962,0.0431666802614927,-0.0186666762456298,-0.004666684816281
"66",66,0.0163333316644033,0.039666670995454,-0.0233333393310507,-0.00699998810887337
"67",67,0.0198333474497,0.0501666640241941,-0.0279999882914126,-0.00466666308542093
"68",68,0.0221666594346364,0.0419999981919924,-0.0280000035030146,-0.0081666832168897
"69",69,0.015166662633419,0.0490000080317259,-0.0279999969837566,-0.00816667452454567
"70",70,0.0186666610340277,0.050166652072221,-0.0314999964709083,-0.0105000038941701
"71",71,0.0140000109871229,0.0501666732598096,-0.0326666676749786,-0.00816667452454567
"72",72,0.019833338757356,0.0548333319990585,-0.0420000220959385,-0.00583331038554509
"73",73,0.0163333403567473,0.0571666771235565,-0.0384999910990397,-0.00816667452454567
"74",74,0.0209999904036522,0.0594999842190494,-0.0396666557838519,-0.0034999984006087
"75",75,0.0139999936024348,0.057166666801398,-0.0478333411738276,-0.00816666583220164
"76",76,0.0105000038941701,0.0665000103569279,-0.0431666770018637,-0.00816667452454567
"77",77,0.0140000044678648,0.0630000070668757,-0.0466666569312414,-0.00816667452454567
"78",78,0.0128333223983645,0.06649998849025,-0.0513333330551783,-0.015166640902559
"79",79,0.0116666750982404,0.0618333387149808,-0.0583333394994649,-0.0105000038941701
"80",80,0.015166661546876,0.064166666183155,-0.0629999919910915,-0.0163333273182313
"81",81,0.0093333413824439,0.0676666678433927,-0.0571666716908415,-0.0116666729251544
"82",82,0.0128333211760037,0.0629999948432669,-0.0536666580786308,-0.0186666784187158
"83",83,0.0140000051469542,0.0630000103265047,-0.0641666641458869,-0.019833330065012
"84",84,0.0139999952322493,0.0559999907078842,-0.0688333393190987,-0.0233333328117927
"85",85,0.019833343103528,0.06183333749262,-0.0699999923235737,-0.0256666491429011
"86",86,0.0221666605211794,0.0594999897875823,-0.0665000060107559,-0.0314999986439943
"87",87,0.024500010535121,0.0595000071722704,-0.0699999911012128,-0.0291666866590579
"88",88,0.0338333334463338,0.0513333273508276,-0.0630000024490679,-0.0454999748617411
"89",89,0.0338333193212748,0.0560000189580023,-0.0735000021328839,-0.0385000258684158
"90",90,0.0350000122562051,0.0559999923376987,-0.0606666658810961,-0.0396666470915079
"91",91,0.044333346032848,0.0454999965926011,-0.0641666663189729,-0.0513333417475224
"92",92,0.0559999836453547,0.0489999983886567,-0.0606666668318212,-0.0536666754633188
"93",93,0.0524999966534475,0.0466666740442937,-0.0536666711171468,-0.054833335801959
"94",94,0.0594999972575655,0.0454999925180649,-0.0560000102656583,-0.0641666619728009
"95",95,0.0653333538211882,0.039666674255083,-0.0489999841277798,-0.0641666597997149
"96",96,0.0618333065261443,0.0408333222342966,-0.0420000057977935,-0.0665000076405704
"97",97,0.063000018747213,0.0338333320881551,-0.0279999937241276,-0.0758333262056112
"98",98,0.0606666594976559,0.0233333425906797,-0.0279999920943131,-0.0735000033552448
"99",99,0.0606666744376222,0.0279999934524919,-0.031500005570706,-0.0816666757067045
"100",100,0.0571666555285143,0.0245000078187635,-0.0175000135980857,-0.0828333265380934
"101",101,0.0548333427286707,0.0151666652139587,-0.0093333264424776,-0.0851666673164194
"102",102,0.0583333420800045,0.0221666635091727,-0.0163333347882144,-0.0956666497513652
"103",103,0.0571666491450742,0.012833333942884,-0.0151666720048524,-0.096833334537223
"104",104,0.0454999987656871,-5.29689714312553e-09,-0.00466665004690488,-0.100333339321272
"105",105,0.0513333374013503,0.00350000587059185,-0.0105000025359914,-0.0944999913141752
"106",106,0.0466666656235854,0.00700000712337593,-0.0140000105796692,-0.105000011642308
"107",107,0.0408333443726102,0.00233333154271046,-0.0081666533369571,-0.0956666611600667
"108",108,0.0396666557838519,0.00583333211640517,-0.0034999994871517,-0.0991666579308609
"109",109,0.0431666628768047,-0.00700000332047542,-0.014000007591676,-0.0898333480581641
"110",110,0.0361666758544743,0.00116666577135523,-8.42070827880998e-09,-0.0874999873146104
"111",111,0.0314999877785643,0.00233333806196849,-0.0151666711899452,-0.0781666722808344
"112",112,0.0326666729718757,-0.00350000166023771,-0.00233332339363794,-0.0641666657757014
"113",113,0.030333337354629,-0.00116667120407025,0.00350000519150247,-0.0618333335539016
"114",114,0.0256666556621591,0.00350000709295273,-0.00816666460984076,-0.0524999935296364
"115",115,0.0221666779058675,0.00233332719653845,-0.00583333877148107,-0.0490000123778979
"116",116,0.0233333311819782,0.0069999989743034,-0.00700000073993579,-0.0384999987048407
"117",117,0.0198333327813695,0.00466667829702298,-0.00116666604299098,-0.0326666698480646
"118",118,0.0210000132210553,0.00699998973868787,-0.00233333561724673,-0.0314999785429488
"119",119,0.0221666637808084,0.00816666542474801,-0.00933333119610325,-0.0315000062497954
"120",120,0.0174999887434145,0.0151666733630312,-0.00816666067112237,-0.0326666822074912
"121",121,0.0128333289176226,0.0128333327205231,-0.00933333757954339,-0.0279999800065222
"122",122,0.0128333464381285,0.0209999966512745,-0.0105000022643556,-0.0221666772267781
"123",123,0.0186666666025606,0.0198333306082835,-0.0139999956397029,-0.0303333327368212
"124",124,0.0174999975715764,0.0233333374296005,-0.0186666685040109,-0.0256666723677578
"125",125,0.0163333410358367,0.0245000051024059,-0.0175000005595696,-0.025666663403778
"126",126,0.0256666627246886,0.0256666680215858,-0.0163333338374893,-0.0279999984777533
"127",127,0.0291666642491085,0.0209999932558276,-0.0163333322076748,-0.026833332706398
"128",128,0.0314999976932692,0.0245000071396741,-0.019833332238098,-0.0315000038050736
"129",129,0.0268333431643744,0.0221666602495437,-0.0233333333550642,-0.0221666648673515
"130",130,0.0361666595563293,0.021000000454175,-0.0245000000771446,-0.021000008059976
"131",131,0.0315000046199808,0.0139999979486068,-0.025666668836493,-0.0209999885022019
"132",132,0.0396666555122162,0.0128333313623443,-0.0244999960026083,-0.0210000003183571
"133",133,0.0303333494424199,0.0140000048753185,-0.0210000009974465,-0.0128333353010627
"134",134,0.0431666514681031,0.00700000318465754,-0.0256666706021254,-0.0233333393310507
"135",135,0.039666682947427,0.0058333336104018,-0.022166666497166,-0.023333336886329
"136",136,0.0384999891975895,0.00116666400572285,-0.0209999973303638,-0.0174999989297551
"137",137,0.0408333267162864,0.00466666457941756,-0.0256666665275892,-0.0209999952930957
"138",138,0.0291666793248927,-0.0011666648206301,-0.0186666708129148,-0.0233333317252497
"139",139,0.0373333272291347,0.00233333561724673,-0.0186666632071137,-0.026833332706398
"140",140,0.0349999990818712,-0.00116667011752725,-0.0245000007562339,-0.0315000029901663
"141",141,0.0384999999272016,-0.00466666715995719,-0.0198333319664622,-0.0303333316502782
"142",142,0.0279999975270281,0.00350000288259859,-0.0256666691081288,-0.038500001692834
"143",143,0.0350000062802186,0.00583333062240854,-0.02099999502146,-0.0303333320577318
"144",144,0.0291666671012839,-2.71635750928498e-10,-0.0245000064605847,-0.0396666696372752
"145",145,0.037333330217128,0.00466666607341419,-0.0244999970891513,-0.0314999970141798
"146",146,0.0280000018732001,0.00233333480233947,-0.0268333374600237,-0.0314999987798122
"147",147,0.0326666687615216,0.00349999527679756,-0.0280000029597431,-0.0279999991568426
"148",148,0.0291666692743699,0.00466666851813595,-0.0209999992318141,-0.0303333345024536
"149",149,0.0314999921247363,0.00466666743159294,-0.0209999995034498,-0.0256666648977747
"150",150,0.0303333327368212,0.00699999517140289,-0.0186666637503852,-0.0279999999717499
"151",151,0.0268333343362125,0.00350000016624108,-0.00933333214682837,-0.0256666659843177
"152",152,0.0209999929841918,0.010499999683816,-0.00700000019666428,-0.0198333316948265
"153",153,0.0151666703750379,0.00700000467865417,-0.00350000424077734,-0.0245000018427769
"154",154,0.0198333314231907,0.00583333551185206,-0.00583333673421293,-0.0338333293717975
"155",155,0.0210000079241581,0.0046666626779673,-0.00933333350500713,-0.0233333352565144
"156",156,0.0151666624976012,0.00583333782075594,7.4699831505606e-09,-0.0256666714170327
"157",157,0.0069999984310319,0.0058333325238588,0.00116667120407025,-0.0291666707683665
"158",158,0.00933333377664288,-0.00233333738287911,0.00349999188135068,-0.0314999972858156
"159",159,0.0151666713257631,-0.00349999935133383,0.00116666930261999,-0.0350000068234901
"160",160,0.00583332994331916,-0.00349999609170482,0.00350000437659522,-0.0279999908719522
"161",161,0.0139999968620638,2.03726813197136e-09,0.00699999462813139,-0.0303333315144603
"162",162,0.0151666713257631,-0.0046666704195862,0.00233333480233947,-0.0245000026576842
"163",163,0.0105000038941701,0.00116666210427259,0.00700000332047542,-0.0291666645207442
"164",164,0.019833328978469,-0.00349999649915844,0.00583332478223989,-0.0198333391648096
"165",165,0.0116666718386114,-2.71635750929518e-09,0.00583333863566319,-0.0151666611394224
"166",166,0.0174999974357585,-0.00116666251172622,0.0140000033813218,-0.0140000062334972
"167",167,0.0233333306387067,0.0023333346665216,0.00816666556056589,-0.00466666729577507
"168",168,0.0151666715973988,-2.71635750929537e-09,0.00466666172724217,-0.0116666693938896
"169",169,0.0256666654410462,0.00116667229061325,0.0104999999554517,0.00350001171076049
"170",170,0.0256666636754138,0.00233333045616746,0.00466666525850693,-0.00116667514278864
"171",171,0.0233333329476106,0.00350000166023771,0.00700000318465754,-0.00349999419025456
"172",172,0.0209999947498242,0.00816666447402289,0.00700000223393242,0.00699999951757491
"173",173,0.021000002627261,0.00466666770322869,0.00933333024537812,0.00583332994331916
"174",174,0.019833327891926,0.0116666665417142,0.00350000057369471,0.00933333703627189
"175",175,0.0140000113945765,0.0105000009061769,0.00933333214682837,0.0104999962883691
